Artist,Album,Year,Date Listened,Genre,Tier,Length,Date Bought,Place Bought,City Bought,Cost,New/Used
Mama Cass,Dream a Little Dream of Me,1974,1/3,70s,B,37,12/17/2024,Boo Boo Records,San Luis Obispo,$5,Used
J.J. Johnson Quintet,J.J. In Person!,1958,1/4,Jazz,A,44,,,,,Used
Jackie Gleason,the gentle touch,1961,1/4,Lounge,B,33,12/17/2024,Boo Boo Records,San Luis Obispo,$5.00,Used
Nat King Cole,Wild is Love,1960,1/4,Lounge,B,36,12/20/2024,Record Parlour,LA,$10.00,Used
Rachmaninoff,Yara Bernette – 11 Préludes Aus Op. 32 / 9 Préludes Aus Op. 23,1970,1/4,Classical,B,60,,,,$5,Used
Smokey Hogg,Smokey Hogg Sings the Blues,1961,1/4,Blues,B,45,12/20/2024,The Record Parlor,Los Angeles,$15,Used
The Modern Jazz Quartet,Fontessa,1956,1/4,Jazz,B,37,12/17/2024,Boo Boo Records,San Luis Obispo,$12,Used
Bill Evans,New Conversations,1978,1/5,Jazz,B,46,12/17/2024,Boo Boo Records,San Luis Obispo,$12,Used
Tchaikovsky,Maazel - Vienna Philharmonic: Symphony no 6,1965,1/5,Classical,A,45,12/17/2024,Boo Boo Records,San Luis Obispo,$3,Used
Jack Johnson,On and On,2003,1/7,2000s,A,44,12/17/2024,Boo Boo Records,San Luis Obispo,$28,New
Taj Mahal,Recycling The Blues & Other Stuff,1972,1/7,Blues,C,41,,,,$15.00,Used
Wham!,Make it Big,1984,1/7,80s,A,38,12/20/2024,Record Parlour,LA,$15,Used
Belaire Voices with Strings Unlimited,S Wonderful,1969,1/8,Lounge,B,30,,,,$8.00,Used
Gontiti,Sunday Market,1986,1/8,World,B,43,5/3/2024,Flash Disc Ranch,Tokyo,$17.75,Used
Marian McPartland,at Storyville / at the Hickory House,1955,1/8,Jazz,A,35,12/17/2024,Boo Boo Records,San Luis Obispo,$20.00,Used
Sadao Watanabe,I'm Old Fashioned,1976,1/8,Jazz,A,44,5/3/2024,Flash Disc Ranch,Tokyo,$6.33,Used
Sarah Vaughan,at the Blue Note,1956,1/8,Lounge,A,35,12/17/2024,Boo Boo Records,San Luis Obispo,$10.00,Used
Steve Martin,"""Let's Get Small""",1977,1/8,Comedy (Soundtrack),A,38,12/17/2024,Boo Boo Records,San Luis Obispo,$5.00,Used
The Square,R.E.S.O.R.T.,1985,1/8,Jazz,B,40,5/3/2024,Flash Disc Ranch,Tokyo,$9.50,Used
Widespread Panic,Space Wrangler,1988,1/8,80s,B,64,,,,,New
Della Reese,Della,1960,1/9,Lounge,B,30,12/17/2024,Boo Boo Records,San Luis Obispo,$10.00,Used
Eminem,The Marshall Mathers LP,2000,1/9,Hip-Hop / R&B,C,72,,From James,,,New
M83,Junk,2016,1/9,Electronic (Alt),B,56,,,,,New
Maureen Tomson,The Thrill is Gone,1965,1/10,Lounge,A,38,12/20/2024,Record Parlour,LA,$19.99,Used
Willie Hutch,Season for Love,1970,1/10,Soul,A,26,2/23/2024,Passenger Seat Records,Portland,$33.00,New
Miley Cyrus,Endless Summer Vacation,2023,1/11,2020s,B,46,,Music Millenium,Portland,,New
Southern All Stars,Kamakura,1985,1/11,80s,A,87,5/3/2024,Flash Disc Ranch,Tokyo,$10.00,Used
Cecile Devile,The Girl from Paris,1959,1/12,Lounge,A,34,12/20/2024,Record Parlour,LA,$15.98,Used
Diana Ross,Ross,1978,1/12,Soul,B,39,12/20/2024,Record Parlour,LA,$7.98,Used
Lurlean Hunter,Night Life,1957,1/12,Lounge,A,35,12/20/2024,Record Parlour,LA,$15.98,Used
The Mariachi Brass! Featuring Chet Baker,Double-Shot,1966,1/12,Lounge,B,30,,,LA,,Used
Widespread Panic,Everyday,1993,1/12,90s,A,60,,Music Millenium,Portland,,New
Carpenters,Ticket To Ride,1970,1/13,70s,C,37,,Jackpot,Portland,$10.00,Used
Hino=Kikuchi Quintet,Hino=Kikuchi Quintet,1969,1/13,Jazz,A,32,5/3/2024,Flash Disc Ranch,Tokyo,$17.78,Used
Masaki Ueda,After Midnight,1982,1/13,80s,S,42,5/3/2024,Flash Disc Ranch,Tokyo,$9.51,Used
John Prine,John Prine,1971,1/14,Folk/Country,S,44,,Gluvna,,$0,Used
Michael Hurley,Hi Fi Snock Uptown,1971,1/14,Folk/Country,B,42,,Missisippi Records,Portland,$12,New
Stan Getz,Sweet Rain,1967,1/14,Jazz,A,37,,,Portland,,Used
John Coltrane Quartet,Ballads,1963,1/15,Jazz,A,32,,,Portland,$20,Used
Merle Haggard,Big City,1981,1/15,Folk/Country,B,29,,,,,Used
Florence + The Machine,Ceremonials,2011,1/16,2010s,S,72,,,Austin,$27,New
Taylor Swift,reputation,2017,1/16,2010s,B,56,,,,,
Vince Guaraldi & Bota Sete,Live at El Matador,1966,1/16,Jazz,A,38,,,Portland,$18,Used
Big Smoke,Time is Golden,2016,1/17,2010s,B,47,9/22/2016,VMP,Online,$23.00,New
Ray Charles,Modern Sounds in Country and Western Music,1962,1/17,Soul,S,39,10/1/2011,Antone's,Austin,$12.99,Used
The Beatles,Let It Be,1970,1/17,70s,A,35,,,,$14,Used
The Cranberries,No Need to Argue,1994,1/17,90s,B ,50,,,,,
Amy Winehouse,Scoop The Pearls up from the Sea: Norway 2007,2015,1/18,Soul,A,30,4/8/2017,Jackpot Records,Portland,$24,New
Aretha Franklin,I Never Loved a Man the Way I Love You,1967,1/18,Soul,S,33,8/5/2017,Rasputin,SF,$20,New
Joey Dosik,Inside Voice,2018,1/20,Soul,A,38,,,,,
Madonna,Like A Prayer,1989,1/20,80s,B,51,7/18/2016,VMP,Online,$21,New
Woody Guthrie,Struggle,1976,1/20,Folk/Country,A,34,,,Portland,$10,
Jim Reeves,Jim Reeves,1957,1/21,Lounge,A,30,,,,$8,Used
The Velvet Underground & Nico,The Velvet Underground & Nico,1967,1/21,60s,B,48,,,,,
Destroyer,Kaputt,2011,1/22,2010s,C,50,7/26/2016,VMP,Online,$27,New
Fleetwood Mac,Rumours,1977,1/22,70s,S,39,,Amoeba,SF,$21,New
Kurt Vile,Bottle it In,2018,1/22,2010s,A,78,,,,,
Queen,Queen,1973,1/22,70s,B,39,,,,,
Traffic,Low Spark of High Heeled Boys,1971,1/22,70s,A,40,,,,$8.50,Used
Abra,Princess,2016,1/23,Hip-Hop / R&B,D,22,,,Online,,New
Atlanta Rhythm Section,Champagne Jam,1978,1/23,70s,A,33,10/1/2004,,,$1.99,Used
Louis Armstrong,"Hello, Dolly!",1964,1/23,Jazz,A,37,,Antone's,Austin,$7.99,Used
The Animals,The Best of the Animals,1966,1/23,60s,B,33,,,,,Used
Gregg & Duane Allman,Gregg & Duane Allman,1973,1/24,70s,B,25,,,,,Used
Various Artists,National Lampoon's Animal House (Original Motion Picture Soundtrack),1978,1/24,Soundtrack,A,36,12/11/2016,Alamo,SF,$12,Used
Aaliyah,Age Ain't Nothing But a Number,1994,1/25,Hip-Hop / R&B,A,49,6/19/2017,VMP,Online,$32,New
ABBA,Gold,1992,1/25,Funk,B,78,5/28/2017,Amoeba,SF,$35,New
AC/DC,Highway to Hell,1979,1/25,70s,A,42,11/18/2016,Georgetown Records,Seattle,$12,Used
Allman Joys,Early Allman,1973,1/25,70s,C,32,,Fantasyland,Atlanta,$10,Used
Alt-J,An Awesome Wave,2012,1/25,2010s,A,44,,,,$18,New
America,History: America's Greatest Hits,1975,1/25,70s,C,39,,,,,Used
Arcade Fire,Everything Now,2017,1/25,2010s,A,47,7/30/2017,Amoeba,SF,$30,New
Duke Ellington (ft. Louis Armstrong),Paris Blues,1961,1/25,Jazz,B,31,9/20/2017,Alamo,SF,$18,Used
Lady Gaga & Bradley Cooper,A Star is Born Soundtrack,2018,1/25,Soundtrack,B,70,,,,,New
Lynn Anderson,Listen To A Country Song,1972,1/25,Folk/Country,B,28,,,,$8,Used
The Allman Brothers Band,Brothers and Sisters,1973,1/25,70s,S,38,,,,,
The Allman Brothers Band,30 Años de Musica Rock,1984,1/25,80s,B,38,,,Mexico City,$11,
Louis Armstrong & Duke Ellington,Recording Together for the First Time,1961,1/26,Jazz,S,36,,Grandpa George,Glen Ellen,$0,Used
The Antlers,Hospice,2009,1/26,2000s,D,52,,,,,New
Various Artists,Music From The Motion Picture 2001: A Space Odyssey,1968,1/27,Soundtrack,B,36,,,,,
Louis Armstrong,"Satchmo: A Musical Autobiography of ""Louis Armstrong""",1956,1/28,Jazz,B,195,,,,,Used
Aerosmith,Live! Bootleg,1978,2/3,70s,C,75,,,,,Used
The Album Leaf,Between Waves,2016,2/3,Electronic,B,39,8/16/2016,VMP,Online,$19,New
Arlt,Soleil Enculé,2019,2/4,World,D,30,,,,,
The Animals,Animalization,1966,2/4,60s,A,40,,,,,Used
The Gregg Allman Band,The Gregg Allman Tour,1974,2/5,70s,A,75,,,,,Used
The Allman Brothers Band,Eat a Peach,1972,2/6,70s,S,68,,,,,
The Allman Brothers Band,At Fillmore East,1971,2/7,70s,S,76,5/28/2017,Amoeba,SF,$25,New
Adele,25,2015,2/8,2010s,S,48,,Amoeba,SF,,New
Adele,30,2021,2/8,2020s,B,58,,,Portland,$21,Used
Alabama ,Pride of Dixie,1981,2/8,Folk/Country,C,20,,,,,Used
Alabama Shakes,Boys & Girls,2012,2/8,2010s,A,36,,,,$15,New
Audioslave,Audioslave,2002,2/8,2000s,S,65,10/19/2017,Sound City,Bainbridge,$25,New
Duane Allman,An Anthology,1972,2/8,70s,B,91,,,Ashland,,Used
Terry Allen,Juarez,1975,2/8,Folk/Country,B,52,12/27/2016,Stranded,SF,$18,New
The Gregg Allman Band,Playin' Up a Storm,1977,2/8,70s,A,35,10/1/2004,,,$2.99,Used
Arcade Fire,We,2022,2/9,2020s,A,41,,,,,New
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2006,2/9,2000s,A,41,4/9/2018,VMP,Online,$29,New
Avett Brothers,The Carpenter,2012,2/9,Folk/Country,B,46,,,,,New
The Allman Brothers Band,Beginnings,1973,2/9,70s,A,60,,,,$10,Used
Herb Alpert's Tijuana Brass,Whipped Cream & Other Delights,1965,2/14,Lounge,A,29,,Amazon,Online,,New
Fiona Apple,Tidal,1996,2/17,90s,B,52,6/19/2017,VMP,Online,$25,New
Bobby Bland,Ain't Nothing You Can Do,1964,2/19,Soul,A,26,,,,$10,Used
James Brown,Sho is Funky Down Here,1971,2/19,Funk,B,30,2/24/2017,Crossroads Music,Portland,$10,Used
Peter Brown,A Fantasy Love Affair,1978,2/19,Funk,C,37,2/24/2017,Crossroads Music,Portland,$10,Used
Ryan Adams,heartbreaker,2000,2/19,2000s,A,52,,,,,New
The Allman Brothers Band,"Wipe the Windows, Check The Oil, Dollar Gas",1976,2/19,70s,B,72,,,,,Used
The Black Keys,Rubber Factory,2004,2/19,2000s,A,42,,,,,
B.B. King,Blues In My Heart,1962,2/20,Blues,B,33,,,,$6,Used
Black Pumas,Black Pumas,2019,2/20,2010s,B,40,,,,,
The Beatles,Help!,1965,2/20,60s,S,34,12/27/2016,Stranded,SF,$20,Used
Art Blakey & the Jazz Messengers,Caravan,1962,2/21,Jazz,A,39,,,,$12,Used
R.L. Burnside,Too Bad Jim,1994,2/21,Blues,C,41,VMP,Online,,,New
The Byrds,Turn! Turn! Turn!,1965,2/21,60s,A,30,,,,,
B.B. King,Live at the Regal,1965,2/22,Blues,A,35,9/15/2016,VMP,Online,$19,New
Bachman-Turner Overdrive,Best of B.T.O. (So Far),1976,2/22,70s,C,39,,Fantasyland,Atlanta,$4,Used
Band of Horses,Cease to Begin,2007,2/22,2000s,A,35,,,,,
Beck,Sea Change,2002,2/22,2000s,B,42,11/16/2016,VMP,Online,$23,New
Beethoven,"Lazar Berman Plays Beethoven: Sonata Op. 57 ""Appassionata"" / Sonata Op. 31, No. 3",1976,2/22,Classical,B,32,,Amoeba,SF,$4.99,Used
Broken Bells,After the Disco,2014,2/22,2010s,B,46,,,,$20,New
Buffalo Springfield,Retrospective: The Best of Buffalo Springfield,1968,2/22,60s,B,40,11/1/2004,,,$5.99,Used
Jackson Browne,For Everyman,1973,2/22,70s,B,41,,,,,Used
James Brown,Think!,1960,2/22,Soul,A,31,7/10/2017,Ranch Records,Bend,$15,New
The Band,Music From Big Pink,1968,2/22,60s,S,41,,,,,Used
The Beatles,Introducing... The Beatles,1964,2/22,60s,B,26,,,,,
Tony Bennett,I Left My Heart in San Francisco,1962,2/22,Lounge,A,31,,Rasputin,SF,$2.95,Used
Chet Baker and the Carmel Strings,Quietly There,1966,2/23,Lounge,B,32,,,Portland,$15,Used
Louie Bellson,The Louis Bellson Explosion,1975,2/23,Jazz,C,53,,Grandpa George,Glen Ellen,$0,Used
The Band,The Band,1969,2/23,60s,SD,44,5/30/2014,Amoeba,SF,,New
The Byrds,Greatest Hits,1967,2/23,60s,B,39,,,,,
B.B. King,Midnight Believer,1978,2/24,Blues,B,33,,,,,Used
Brahms,"Hans Richter-Haaser, Brahms*, Berlin Philharmonic Orchestra*, Herbert von Karajan – Concerto No. 2 In B Flat Major",1959,2/24,Classical,D,51,,,Portland,,Used
Jimmy Buffett,"Changes in Latitudes, Changes in Attitudes",1977,2/24,Folk/Country,A,42,,,,,Used
bed.,Klickitat,2016,2/25,2010s,C,17,,,,,
Justin Bieber,Believe,2012,2/25,2010s,B,48,1/14/2017,Rasputin,SF,$18,New
Oscar Peterson & Count Basie,Satch and Josh,1974,2/25,Jazz,A,52,,Grandpa George,Glen Ellen,$0,Used
Chuck Berry,The Legends of Rock - Chuck Berry,1980,2/27,Blues,B,69,3/19/2017,Recycled Records,SF,$20,Used
Dave Brubeck,Dave Brubeck's All Time Greatest Hits,1974,2/27,Jazz,B,44,,,,,Used
The Dave Brubeck Quartet,Newport 1958,1959,2/28,Jazz,A,42,,Grandpa George,Glen Ellen,$0,
Art Blakey & The Jazz Messengers,Free For All,1965,3/1,Jazz,A,37,,,,$35,Used
Bootsy's Rubber Band,Bootsy? Player of the Year,1978,3/1,Funk,C,45,2/24/2017,Crossroads Music,Portland,$15,Used
The Dave Brubeck Quartet,Time Further Out,1961,3/1,Jazz,A,47,,Recycled,SF,$6,Used
Bee Gees,Bee Gees Greatest,1979,3/2,Funk,B,41,,,,,Used
Courtney Barnett & Kurt Vile,Lotta Sea Lice,2017,3/2,2010s,A,45,2/23/2024,Passenger Seat Records,Portland,$24,New
The Band,The Last Waltz,1978,3/2,70s,S,129,1/29/2017,Amoeba,SF,2/23/2024,Passenger Seat Records
Art Blakey & the Jazz Messengers,the second set Lausanne 1960,1960,3/3,Jazz,A,47,,,,,
Bad Company,Bad Company,1973,3/3,70s,B,35,5/28/2017,Amoeba,SF,$15,Used
Blink-182,Enema of the State,1999,3/3,90s,S,35,10/22/2016,Amoeba,SF,$20,New
Charles Bradley,Changes,2016,3/3,Soul,B,40,,,,,New
Phoebe Bridgers,strangers in the alps,2017,3/3,2010s,A,44,,,,,
The Hollyridge Strings,The Beatles Songbook,1964,3/3,Lounge,C,25,,,,$1.99,Used
Art Blakey & the Jazz Messengers,!!!!!! art blakey !!!!! jazz messengers !!!!!,1961,3/4,Jazz,A,38,10/1/2017,Stranded,Bainbridge,$20,New
The Blues Brothers,Briefcase Full of Blues,1978,3/4,Blues,A,38,,Antone's,Austin,$5,Used
Art Blakey & the Jazz Messengers,Moanin',1958,3/5,Jazz,S,40,9/11/2017,Stranded,SF,$20,New
Art Blakey & the Jazz Messengers,Art Blakely's Jazz Messengers with Thelonious Monk,1958,3/5,Jazz,A,45,8/16/2016,VMP,Online,$29,New
Blink-182,Take off Your Pants and Jacket,2001,3/5,2000s,S,39,10/22/2016,Amoeba,SF,$30,New
David Bowie,Hunky Dory,1971,3/5,70s,S,42,,,,,Used
The Band,Stage Fright,1970,3/6,70s,A,36,10/9/2016,Amoeba,SF,$7.99,Used
Blink-182,blink-182,2003,3/17,2000s,S,53,10/22/2016,Amoeba,SF,$25,New
James Brown with the Louie Bellson Orchestra,Soul on Top,1970,3/17,Soul,A,54,,,,,Used
Jon Batiste,Beethoven Blues,2024,3/17,Classical,B,51,3/1/2024,Rexi,Portland,$0.00,New
Art Blakey & the Jazz Messengers,Les Liaisons Dangereuses 1960,1959,3/18,Jazz,B,50,,,,,Used
Art Blakey & The Jazz Messengers / Miles Davis,Ascenser pour l'echafaud / Des Femmes Disparaissent,1959,3/18,Jazz,B,56,,,,$30,Used
Bootsy Collins,"Ahh... The Name is Bootsy, Baby!",1977,3/18,Funk,A,39,,,,$2.95,Used
Boyz II Men,II,1994,3/18,Hip-Hop / R&B,A,61,8/16/2016,VMP,Online,$23,New
Devendra Banhart,Ape in Pink Marble,2016,3/18,2010s,C,44,9/15/2016,VMP,Online,$23,New
The B-52's,The B-52's,1979,3/18,70s,B,39,,,,,Used
The Band,Rock of Ages,1972,3/18,70s,A,78,,,,$10,Used
Bob Dylan & The Band,Before The Flood,1974,3/19,70s,B,92,,Fantasyland,Atlanta,$12,Used
David Bowie,Young Americans,1975,3/19,70s,A,41,,,,,Used
Jacques Brel,Volume 2,1961,3/19,Lounge,C,35,,,Portland,$6,Used
Joan Baez,Blessed Are...,1971,3/19,Folk/Country,A,78,1/1/2013,Academy Records,NYC,$5,Used
The Beatles,Sgt Pepper's Lonely Hearts Club Band,1967,3/19,60s,S,40,,,,,Used
Various Artists,Original Motion Picture Soundtrack from The Big Chill,1983,3/19,Soundtrack,B,41,,,,,Used
Black Sabbath,Paranoid,1970,3/20,70s,A,36,,VMP,Online,$0,New
The B-52's,Mesopotamia,1982,3/20,80s,B,26,12/3/2016,Past Perfect,SF,$7,Used
"Dave Brubeck with Gerry Mulligan, Paul Desmon, Alan Dawson, Jack Six",We're All Together Again for the First Time,1973,3/21,Jazz,B,47,,,,,Used
Erykah Badu,Baduizm,1997,3/21,Hip-Hop / R&B,B,35,,Amazon,Online,$29.99,New
Jane Birkin,ex fan des sixties,1978,3/21,Lounge,C,42,,,,,New
Jimmy Buffett,Somewhere Over China,1982,3/21,Folk/Country,B,36,,,,,Used
Lucio Battisti,Amore E Non Amore,1971,3/21,World,B,36,,,,,New
5000 Volts,I'm On Fire - Love Cloud,1978,3/22,Funk,C,42,,,,,Used
Chet Baker,Live in Milan,1959,3/22,Jazz,A,43,,,,,New
Sabrina Carpenter,Short n' Sweet,2024,3/22,2020s,A,36,3/3/2025,Music Millenium,Portland,$33,New
Tedeschi Trucks Band ft Trey Anastasio,Layla Revisited (Live at Lockn'),2021,3/22,2020s,A,97,3/3/2025,Music Millenium,Portland,$40,New
The Beatles,Abbey Road,1969,3/22,60s,S,47,,,,,Used
The Elvin Bishop Group,Elvin Bishop Group,1969,3/22,Blues,B,37,2/4/2017,Amoeba,SF,$7.99,Used
Marion Brown Quartet,"""La Placita"" Live in Willisau",1978,3/23,Jazz,B,46,,,Portland,$18,Used
The Band,Moondog Matinee,1973,3/23,70s,B,35,,,,,Used
Big Audio Dynamite,Tighten Up Vol '88,1988,3/24,80s,B,46,,,,$4.50,Used
"Blood, Sweat & Tears","Blood, Sweat & Tears Greatest Hits",1972,3/24,70s,B,48,,,,,Used
Count Basie,Big Bands are Back!,1963,3/24,Jazz,B,31,,Grandpa George,Glen Ellen,$0,Used
Herman's Hermits,The Best of Herman's Hermits,1965,3/24,60s,B,26,3/3/2025,Music Millenium,Portland,$7,Used
The Band,Cahoots,1971,3/24,70s,B,43,,,,,Used
The Band,"Northern Lights, Southern Cross",1975,3/24,70s,A,41,,,,,New
The Band,Islands,1977,3/24,70s,B,35,3/19/2017,Recycled Records,SF,$15,Used
The Black Keys,thickfreakness,2003,3/24,2000s,B,39,,,,,
Blink-182,California,2016,3/27,2010s,B,43,,,,,New
Bon Iver,"For Emma, Forever Ago",2007,3/27,Folk/Country,S,37,,Amoeba,SF,$15,New
Beach House,Devotion,2008,3/28,2000s,B,44,3/14/2018,VMP,Online,$25,New
Big Audio Dynamite,This Is Big Audio Dynamite,1985,3/28,80s,C,43,12/3/2016,Past Perfect,SF,$5,Used
David Bowie,Let's Dance,1983,3/28,80s,A,40,12/19/2016,Groove Merchant,SF,$12,Used
David Bowie,Pin Ups,1973,3/28,70s,B,34,,,,$20,Used
Leon Bridges,Coming Home,2015,3/28,Soul,A,34,3/21/2016,Amoeba,SF,$20,New
Bee Gees,Idea,1968,3/30,60s,C,35,,Amoeba,SF,,Used
Bon Iver,"bon iver, bon iver",2011,3/30,Folk/Country,A,39,,,,,New
Joni Mitchell,For The Roses,1972,3/30,Folk/Country,B,40,3/3/2025,Music Millenium,Portland,$15,Used
Marion Brown,Three for Shepp,1967,3/30,Jazz,B,35,9/4/2020,Superior Viaduct,Online,$20,New
BADBADNOTGOOD,IV,2016,3/31,Jazz,B,50,8/9/2016,VMP,Online,$27,New
Black Sabbath,Greatest Hits,1977,3/31,70s,B,44,,FantasyLand,Atl,$9,Used
Chet Baker,Chet Baker Sings,1954,3/31,Lounge,S,44,,,,,New
David Bowie,The Next Day,2013,3/31,2010s,A,53,,,,$17.48,New
David Bowie,Blackstar,2016,3/31,2010s,A,41,,,,$29,New
The Band,Anthology Volume 1,1978,3/31,70s,B,38,,,,,Used
The Beatles,Rubber Soul,1965,3/31,60s,S,35,,,,,Used
Big Brother & The Holding Company,Big Brother & The Holding Company,1967,4/1,60s,B,28,,Amoeba,SF,$10,Used
Brigitte Bardot,La Madrague,2016,4/1,Lounge,B,30,,,,,New
James Brown and his Famous Flames,Live at the Apollo Volume II Part I,1968,4/1,Funk,A,35,,,,,Used
Courtney Barnett,"Sometimes I Sit and Think, Sometimes I Just Sit",2015,4/2,2010s,A,43,,Gluvna,,$0,New
James Brown and the Famous Flames,Live at the Apollo,1963,4/2,Soul,A,32,,,,$18,Used
Bo Burnham,Inside,2021,4/3,Comedy,S,57,9/27/2021,Bo Burnham Store,Online,$43,New
Chet Baker,(Chet Baker Sings) It Could Happen to You,1958,4/3,Lounge,A,36,,,,,New
John Morris,Blazing Saddles: Original Motion Picture Soundtrack,1974,4/3,Comedy,B,42,8/29/2016,Amoeba,SF,$30,New
The Books,The Lemon of Pink,2003,4/3,2000s,C,37,10/13/2016,VMP,Online,$25,New
Blind Faith,Blind Faith,1969,4/7,60s,A,42,,Rasputin,SF,$16,Used
Boston,Boston,1976,4/7,70s,S,38,,Fantasyland,Atlanta,$4,Used
Courtney Barnett,A Sea of Split Peas,2013,4/7,2010s,A,56,,Gluvna,,$0,New
Leon Bridges,Good Thing,2018,4/7,Soul,A,35,,,,,New
The Beach Boys,Pet Sounds,1966,4/7,60s,A,37,6/6/2018,Amoeba,SF,$30,New
Various Artists,The Book of Mormon,2011,4/7,Comedy,S,67,5/28/2017,Amoeba,SF,$40,New
The Beach Boys,"Best of the Beach Boys, Vol 2",1967,4/8,60s,B,29,,,,,Used
The Beach Boys,Endless Summer,1974,4/8,70s,B,46,,,Portland,$15,Used
The Black Crowes,Shake Your Money Maker,1990,4/8,90s,A,45,,,,,New
Tony Bennett,"The ""Music Of Your Life""",1983,4/8,Lounge,B,30,,,Portland,,New
Beck,ODELAY,1996,4/9,90s,B,52,8/16/2016,VMP,Online,$25,New
Blondie,Parallel Lines,1978,4/9,70s,B,39,8/5/2017,Groove Merchant,SF,$10,Used
Bruno Mars,Unorthodox Jukebox,2012,4/9,2010s,S,35,,Amoeba,SF,$21.84,New
Leon Bridges,Gold-Diggers Sound,2021,4/9,Soul,B,37,,,,,New
Various Artists,Music From the Motion Picture Beverly Hills Cop,1984,4/9,Soundtrack,B,39,12/11/2016,Alamo,SF,$12,Used
Charley Crockett,Lonesome As A Shadow,2018,4/10,Folk/Country,B,30,,,Portland,,New
Joni Mitchell,Chalk Mark In A Rain Storm,1988,4/10,Folk/Country,B,46,3/3/2025,Music Millenium,Portland,$6,Used
Sam Cooke,You Send Me...,1974,4/10,Lounge,B,23,11/16/2012,Portland,2nd Avenue Records,$8,Used
Cut Copy,Free Your Mind,2013,4/10,Electronic,C,51,,Clark,SF,$0,New
Lyn Collins,Think (About It),1972,4/10,Funk,A,31,3/18/2017,VMP,Online,$22,New
Glen Campbell,A New Place in the Sun,1968,4/11,Folk/Country,B,28,,Amoeba,SF,"$2,99",Used
"Crosby, Stills, & Nash",Daylight Again,1982,4/11,80s,C,40,11/1/2004,,,$2,Used
Ray Charles,The Second Album (And Great Sounds of Rhythm and Blues),1961,4/11,Blues,C,32,5/5/2018,Jackpot,Portland,$8,Used
Joe Cocker,Mad Dogs & Englishmen,1970,4/11,70s,A,79,,,,,Used
John Coltrane,Concert in japan,1973,4/12,Jazz,B,90,,,Portland,$45,Used
Ry Cooder,Paradise and Lunch,1974,4/12,Blues,B,37,,,,,Used
The Chicks,The Essential Chicks,2010,4/12,Folk/Country,B,85,,,,,New
Ray Conniff & Billy Butterfield,Just Kiddin' Around,1963,4/12,Jazz,C,28,,Amoeba,SF,$1,Used
Eric Clapton,no reason to cry,1976,4/12,70s,S,46,10/25/2016,amoeba,SF,$14.99,Used
Patsy Cline,Patsy Cline's Greatest Hits,1967,4/13,Folk/Country,A,33,,,,,New
Andrew Combs,Canyons of my Mind,2017,4/13,Folk/Country,B,45,,,,,New
Sam Cooke,The Gospel Soul of Sam Cooke with the Soul Stirrers vol 1,1969,4/13,Soul,B,33,8/21/2016,Amoeba,,$20,Used
John Coltrane,My Favorite Things,1961,4/13,Jazz,S,40,12/18/2016,Rooky Ricardo's,SF,$20,Used
Canned Heat & John Lee Hooker ,Hooker n Heat,1971,4/13,Blues,A,83,,Amoeba,SF,,New
