Artist,Album,Year,Date Listened,Genre,Tier,Length,Date Bought,Place Bought,City Bought,Cost,New/Used
"Crosby, Stills, Nash & Young",4 Way Street,1971,4/13,70s,A,86,,,,$16.50,Used
Cooper Brothers,Cooper Brothers,1978,4/14,70s,C,39,,,,$2.99,Used
Chopin,"Daniil Trifonov, Mahler Chamber Orchestra, Mikhail Pletnev, Sergei Babayan – Chopin Evocations",2017,4/14,Classical,A,140,11/18/2017,Amoeba,SF,$35,New
Classixx,Faraway Reach,2016,4/15,Electronic,B,51,8/9/2016,VMP,Online,$21,New
Nat King Cole,From The Very Beginning,1973,4/15,Jazz,B,59,,,Portland,$10.00,Used
Brandi Carlile,In These Silent Days (In the Canyon Haze),2022,4/15,Folk/Country,A,43,,,Portland,,New
Sam Cooke,The One and Only Sam Cooke,1968,4/16,Lounge,A,30,10/16/2012,2nd Avenue,Portland,$15,Used
Canned Heat,Hallelujah,1969,4/16,Blues,A,38,,,,,Used
Eric Clapton and the Yardbirds,Eric Clapton and the Yardbirds,1972,4/16,Blues,B,31,,Full Moon Records,Atlanta,$1,Used
Joe Cocker,Joe Cocker's Greatest Hits,1977,4/16,70s,B,49,,Fantasyland,Atlanta,$4.50,Used
The Ray Charles Singers,Moods of Love,1973,4/16,Lounge,D,,,Amoeba,San Francisco,$2.99,Used
Phil Collins,Face Value,1981,4/18,80s,B,48,,,,,Used
Cream,Fresh Cream,1966,4/19,60s,A,38,8/5/2017,Recycled Records,SF,$30,Used
Ray Charles,Crying Time,1966,4/19,Soul,A,40,6/6/2018,Amoeba,SF,$8,Used
Crowded House,Temple of Low Men,1988,4/19,80s,B,38,,,,$16,Used
Chance the Rapper,Coloring Book,2016,4/19,Hip-Hop / R&B,S,57,9/9/2016,Ebay,Online,$50,New
The Chicks,Gaslighter,2020,4/19,Folk/Country,S,47,,,,,New
Disneyland Records,"Chilling, Thrilling Sounds of the Haunted House",1964,4/21,Soundtrack,D,27,,Speck's,Portland,$5,Used
Chopin,Vladimir Ashkenazy – The Piano Music Of Chopin (Volume Three),1977,4/21,Classical,A,74,,James,James,$0,Used
Childish Gambino,Camp,2011,4/21,Hip-Hop / R&B,A,56,,,,,New
Elvis Costello,My Aim is True,1977,4/22,70s,A,33,,,,,Used
The Clash,Combat Rock,1982,4/22,80s,B,46,,,,,New
Various Artists,Cosmic Machine The Sequel - A Voyage Across French Cosmic & Electronic Avantgarde (70s-80s),2016,4/22,Electronic,B,78,,,,,New
The Church,Remote Luxury,1984,4/22,80s,B,21,,,,,Used
Charley Crockett,Welcome to Hard Times,2020,4/22,Folk/Country,A,41,,,,,
Joe Cocker,With A Little Help From My Friends,1969,4/23,60s,S,41,2/24/2017,Crossroads Music,Portland,$8,Used
Tracy Chapman,Tracy Chapman,1988,4/23,Folk/Country,A,36,,Rasputin,SF,$13,Used
Lorde,Solar Power,2021,4/24,2020s,B,43,3/3/2025,Music Millenium,Portland,$18,Used
Ray Charles,"The Blues Featuring Ray Charles, Vol. 2",1962,4/25,Blues,B,25,,,,,Used
Various Artists,Ciao Bella: Italian girl singers of the 1960s,2015,4/26,Lounge,C,30,11/18/2016,Georgetown Records,Seattle,$20,Used
Bill Coleman,In Milan with Lino Patruno & His Friends,1973,4/28,Jazz,A,30,11/18/2017,Amoeba,SF,$10,Used
Sam Cooke,One Night Stand! Sam Cooke Live at the Harlem Square Club 1963,1985,4/28,Soul,A,37,3/11/2017,Aquarius,SF,$25,New
Various Artists,C'est Chic! French girl singers of the 1960s,2013,4/28,Lounge,B,30,,,Online,,New
Leonard Cohen,Greatest Hits,1975,4/29,Folk/Country,A,47,,,,,New
Ry Cooder,Boomer's Story,1972,5/1,Blues,A,39,,,,,Used
Nat King Cole,"This is Nat ""King"" Cole",1957,5/2,Lounge,A,35,,,,$6.50,Used
Ray Charles,"Modern Sounds in Country and Western Music, Volume Two",1962,5/3,Soul,A,34,,,,,Used
Chemical Brothers,Come With Us,2001,5/3,Electronic,C,55,1/17/2017,VMP,Online,$19,New
Robert Cray,Strong Persuader,1986,5/3,Blues,B,39,,,,,Used
Phil Collins,No Jacket Required,1985,5/3,80s,A,46,,,,,Used
Tyler Childers,Purgatory,2017,5/3,Folk/Country,A,38,,,,,New
Paul Cauthen,Country Coming Down,2022,5/3,Folk/Country,B,33,2/12/2025,,Portland,$30.00,New
John Coltrane,Giant Steps,1960,5/4,Jazz,A,37,8/5/2017,Recycled Records,SF,$22,Used
Creedence Clearwater Revival,Bayou Country,1969,5/4,60s,A,34,,,,,Used
Gladys Knight & The Pips,Claudine,1974,5/4,Soul,A,30,2/19/2017,Alamo,SF,$15,Used
Sam Cooke,Live at the Copa,1964,5/4,Soul,SB,43,,,,,Used
John Craigie,Asterisk The Universe,2020,5/4,Folk/Country,B,37,,,,,New
Jack Constanzo,Latin Fever,1958,5/5,World,A,35,,,,$13,Used
Sam Cooke,Sam Cooke sings the Billie Holiday Story,1959,5/5,Lounge,A,31,,,,,Used
Chicago,Chicago IX: Chicago's Greatest Hits,1975,5/5,70s,B,,,Rasputin,SF,$2.95,Used
Sam Cooke,Only Sixteen,1961,5/5,Lounge,A,25,,,,$35,Used
Commodores,Hot on the Tracks,1976,5/5,Funk,B,38,4/1/2009,Antone's,Austin,$3,Used
Chants,Night After EP,2012,5/5,Electronic,C,16,,,Madison,,New
Chic,C'est Chic,1978,5/5,Funk,A,41,10/18/2015,Noise,SF,$10,Used
Gary Clark Jr.,Black and Blu,2012,5/5,Blues,B,67,,Amoeba,SF,$22,New
Sum 41,Does This Look Infected?,2002,5/5,2000s,S,39,5/3/2025,Music Millenium,Portland,$80,New
Johnny Cash,"Johnny Cash's Greatest Hits, Volume 1",1967,5/6,Folk/Country,B,31,,,,$10,Used
George Carlin,Indecent Exposure,1978,5/6,Comedy,C,47,,Fantasyland,ATL,$5,Used
Jim Croce,Life and Times,1972,5/6,70s,A,29,11/19/2016,Backstreet Beat,Bainbridge,$5,Used
Elvis Costello,This Year's Model,1978,5/6,70s,A,35,,,,,Used
Lucinda Williams,Lucinda Williams Sings The Beatles,2024,5/6,Folk/Country,A,40,5/3/2025,Music Millenium,Portland,$18,New
Cream,Disraeli Gears,1967,5/7,60s,A,33,8/21/2016,Amoeba,SF,$25,Used
Bill Evans,Sunday at The Village Vanguard,1961,5/7,Jazz,S,42,5/3/2025,Music Millenium,Portland,$24,New
Bill Callahan,Gold Record,2020,5/8,Folk/Country,A,40,9/7/2020,Drag City,Online,$22,New
Sharon Van Etten & The Attachment Theory,Sharon Van Etten & The Attachment Theory,2025,5/8,2020s,B,46,3/3/2025,Music Millenium,Portland,$26,New
Creedence Clearwater Revival,Chronicle: The 20 Greatest Hits,1976,5/12,70s,B,68,,,,,Used
California Playboys,Trying to Become a Millionaire,1976,5/12,Funk,A,28,7/18/2016,VMP,Online,$21,New
Nick Cave & The Bad Seeds,Push the Sky Away,2013,5/12,2010s,B,43,,Amoeba,SF,$17,New
Leonard Cohen,You Want It Darker,2016,5/12,Folk/Country,A,36,11/16/2016,VMP,Online,$24,New
"Crosby, Stills, Nash & Young",So Far,1974,5/12,70s,S,43,,,,$12.00,Used
Tyler Childers,Live on Red Barn Radio I & II,2013,5/12,Folk/Country,S,29,,,,,New
Bob Dylan,Another Side of Bob Dylan,1964,5/13,Folk/Country,A,51,,,,$10,Used
Miles Davis,Birth of the Cool,1956,5/13,Jazz,A,35,9/15/2016,VMP,Online,$19,New
Various Artists,Drumsticks Trumpets and Dixieland,1961,5/13,Jazz,B,33,,Grandpa George,Glen Ellen,$0,
Diarrhea Planet,I'm Rich Beyond Your Wildest Dreams,2013,5/14,2010s,B,40,4/17/2014,VMP,SF,$27,New
Dr. Hook,Greatest Hits,1980,5/14,80s,C,45,,Rasputin,SF,$2.95,Used
Miles Davis,Porgy and Bess,1957,5/14,Jazz,A,51,,,,,Used
Neil Diamond,Hot August Night,1972,5/14,70s,C,93,,,,,Used
The Donkeys,Ride the Black Wave,2014,5/14,2010s,B,34,4/15/2014,Chapel,SF,,New
Various Artists,Dangerous Doo Wop Volume no 2,1985,5/14,Soul,B,40,5/28/2017,Amoeba,SF,$10,Used
Bob Dylan,John Wesley Harding,1967,5/15,Folk/Country,B,38,12/18/2016,Groove Merchant,SF,$15,Used
Miles Davis,Kind of Blue,1959,5/15,Jazz,S,46,2/11/2017,Burlington Records,Burlington,$20,Used
Miles Davis Quintet,Workin' with the Miles Davis Quintet,1960,5/16,Jazz,A,42,,,,,New
The Doors,The Doors,1967,5/16,60s,S,44,,Fantasyland,Atlanta,$2.50,
Betty Davis,They Say I'm Different,1974,5/17,Funk,A,33,1/29/2017,Rasputin,SF,$24,New
Dawes,Good Luck With Whatever,2020,5/17,2020s,B,40,10/1/2020,Amoeba,SF,$25,New
Derek & the Dominos,In Concert,1973,5/17,70s,B,90,,,,,Used
Devo,Q: Are We Not Men? A: We Are Devo,1978,5/17,70s,B,34,8/21/2016,Groove Merchant,SF,$20,Used
Dr. Dog,Be the Void,2012,5/17,2010s,A,48,,,,,New
Dr. John,Desitively Bonnaroo,1974,5/17,Funk,B,37,,,,$18,New
The Drifters,I'll Take You Where The Music's Playing,1965,5/17,Soul,A,33,,,,$10,Used
John Denver,"Poems, Prayers & Promises",1971,5/17,Folk/Country,A,38,,North Beach,SF,,Used
The Dells,Freedom Means...,1971,5/17,Soul,B,40,,,SF,$5,Used
The Donnas,get skintight,1999,5/17,90s,A,,8/21/2016,Amoeba,SF,$10,Used
Willie Dixon,I Am The Blues,1970,5/17,Blues,A,43,,,Portland,$10,Used
Bob Dylan,Bringing It All Back Home,1965,5/18,Folk/Country,A,47,12/18/2016,Rooky Ricardo's,SF,$15,Used
Bob Dylan & Johnny Cash,Nashville Sessions,1969,5/18,Folk/Country,B,67,4/8/2017,Jackpot Records,Portland,$30,New
Depeche Mode,Speak & Spell,1981,5/18,Electronic,B,40,5/30/2014,Amoeba,SF,$23,New
Dio,Sacred Heart,1985,5/19,80s,,39,7/1/2004,,Atlanta,$1.99,Used
Drake,If You're Reading This It's Too Late,2015,5/19,Hip-Hop / R&B,B,69,11/24/2016,VMP,Online,$29,New
Swervedriver,petroleum spirit daze,1990,5/19,90s,B,17,5/7/2024,Dave Linette,Portland,$0,Used
Miles Davis,Sketches of Spain,1960,5/19,Jazz,B,42,6/25/2021,,,$20,Used
Various Artists,The Diner (Original Motion Picture Soundtrack),1982,5/19,Soundtrack,B,48,9/20/2017,Alamo,SF,$12,Used
Daft Punk,Discovery,2001,5/20,Electronic,B,61,7/10/2017,Ranch Records,Bend,$30,New
Miles Davis,Sorcerer,1967,5/20,Jazz,A,40,12/7/2017,VMP,Online,$25,New
Dawes,All Your Favorite Bands,2015,5/21,2010s,A,48,,,,$19,New
Eunice Davis and her Spivey Low-down Blues Privacy Invaders,What Is The Blues?!!,1979,5/21,Blues,C,36,,Amoeba,SF,,Used
Donovan,Donovan's Greatest Hits,1969,5/27,60s,B,39,,,,,Used
Tyrone Davis,Love and Touch,1976,5/27,Soul,B,36,12/21/2017,Rooky Ricardo's,SF,$10,Used
The Doors,Absolutely Live,1970,5/30,70s,B,77,1/29/2017,Amoeba,SF,$20,Used
Daft Punk,Random Access Memories,2013,5/31,Electronic,A,74,,,,$25,New
Fats Domino,Let's Play,1959,6/1,Blues,A,30,1/20/2020,,,,Used
Fats Domino,Hello Josephine,1974,6/1,Blues,B,40,,,,,Used
Betty Davis,Betty Davis,1973,6/2,Funk,A,29,7/14/2017,VMP,Online,$25,New
D'Angelo,Voodoo,2000,6/2,Hip-Hop / R&B,S,79,11/16/2016,VMP,Online,$27,New
Dire Straits,Brothers in Arms,1985,6/2,80s,B,46,,,,$3,Used
Dire Straits,Money for Nothing,1988,6/2,80s,B,66,,,,,Used
Dr. Dog,B-Room,2013,6/2,2010s,B,48,,,,$19,New
Dr. John,Dr. John's Gumbo,1972,6/2,Funk,S,39,,,,$28,Used
Dude York,Dehumanize,2014,6/2,2010s,C,34,,,,$23,New
Tyrone Davis,I Had it All The Time,1972,6/2,70s,D,37,,,Portland,$15,Used
Bob Dylan,Blood on the Tracks,1974,6/3,Folk/Country,S,52,,,,,Used
Devo,New Traditionalists,1981,6/3,80s,B,33,,,,,Used
Diarrhea Planet,Turn to Gold,2016,6/3,2010s,C,42,,Infinity Cat,Online,$20.50,New
Neil Diamond,Gold: Recorded Live at the Troubador,1970,6/3,70s,C,39,,,,,Used
Dr. Dog,"Shame, Shame",2010,6/4,2010s,S,40,,,,$20,New
Blessid Union of Souls,walking off the buzz,1999,6/4,90s,B,47,5/31/2025,Record Pub,Portland,$33,Used
112,Part III,2001,6/4,Hip-Hop / R&B,B,59,5/31/2025,Record Pub,Portland,$40,Used
Jackson Browne,Running On Empty,1977,6/4,70s,A,42,5/31/2025,Record Pub,Portland,$6,Used
Melissa Etheridge,Melissa Etheridge,1988,6/4,80s,B,46,5/31/2025,Record Pub,Portland,$9,Used
Kyle M,The Real Me,2025,6/4,Comedy,S,20,4/13/2025,Stones Throw,Online,$33,New
The Doors,The Soft Parade,1969,6/4,60s,A,34,,Amoeba,,,
Dion & The Belmonts,The Hits & More (1958-62),2022,6/4,60s,B,47,,,,,New
Leadbelly,Leadbelly,1965,6/5,Blues,B,30,5/31/2025,Record Pub,Portland,$8,Used
Harry Nilsson,Nillson Sings Newman,1970,6/5,Folk/Country,A,25,5/31/2025,Record Pub,Portland,$15,Used
Herbie Hancock,Speak Like a Child,1968,6/5,Jazz,A,37,5/31/2025,Record Pub,Portland,$24,New
Pearl Jam,Ten,1991,6/5,90s,S,53,5/31/2025,Record Pub,Portland,$23,New
The Police,Synchronicity,1983,6/10,80s,B,40,5/31/2025,Record Pub,Portland,$15,Used
The Marcus King Band,Soul Insight,2015,6/10,Blues,A,56,5/31/2025,Record Pub,Portland,$24,New
Burt Bacharach,Casino Royale (Original Motion Picture Soundtrack),1967,6/11,Soundtrack,B,34,12/11/2016,Alamo,SF,$10,Used
Eagles,Eagles Live,1980,6/11,80s,C,77,,,,,Used
Electric Light Orchestra,Olé ELO,1976,6/11,70s,B,49,12/27/2016,1-2-3-4 Go! Records,SF,$5,Used
Electric Light Orchestra,ELO's Greatest,1979,6/11,70s,B,45,,,,,Used
Eminem,Curtain Call,2005,6/11,Hip-Hop / R&B,B,78,10/12/2016,Amoeba,SF,$27.00,New
Vangelis,Chariots of Fire,1981,6/11,Soundtrack,B,,,Fantasyland,ATL,$3,
Bill Evans,Conversations With Myself,1963,6/12,Jazz,B,37,,,,,Used
Duke Ellington,Ellington Uptown,1952,6/12,Jazz,B,44,,Grandpa George,Glen Ellen,$0,Used
Bill Evans,California Here I Come,1982,6/13,Jazz,A,74,,Specks Records,Portland,$30,Used
Various Artists,Ethiopian modern instrumentals hits,1972,6/13,World,B,39,10/15/2016,Fortch,SF,$0.00,New
Eagles,Hotel California,1976,6/14,70s,S,43,,,,,Used
Richard Strauss,"The Chicago Symphony Orchestra, Fritz Reiner, Richard Strauss – Ein Heldenleben",1981,6/14,Classical,B,42,,,Portland,$10,Used
The Bill Evans Trio,Waltz for Debbie,1965,6/14,Jazz,S,38,,,,,New
The Everly Brothers,The Golden Hits of the Everly Brothers,1962,6/14,Folk/Country,B,28,,,,$8,Used
The Bill Evans Trio,Moon Beams,1962,6/15,Jazz,A,39,,,,,New
Bill Evans,Eloquence,1982,6/16,Jazz,B,41,,,,,Used
Eagles,Their Greatest Hits 1971-1975,1976,6/16,70s,B,43,,,,,Used
Echo and the Bunnymen,Heaven Up Here,1981,6/16,80s,A,43,,,,$7.99,Used
Eva Eva Eva,Love Me Please Forever,1978,6/16,World,B,35,2/23/2024,Passenger Seat Records,Portland,$26,New
Missy Elliot,Supa Dupa Fly,1997,6/16,Hip-Hop / R&B,A,60,6/19/2017,VMP,Online,$27,New
The Equals,Unequalled Equals,1967,6/16,60s,B,30,,,,,New
Bill Evans and Tony Bennett,The Tony Bennett Bill Evans Album,1975,6/17,Jazz,B,35,6/6/2018,Amoeba,SF,$50,Used
El Perro Del Mar,KoKoro,2016,6/17,2010s,A,35,9/15/2016,VMP,Online,$19,New
Sharon Van Etten,epic,2010,6/18,2010s,A,32,,,,,New
Sharon Van Etten,Are We There,2014,6/18,2010s,S,47,5/20/2014,Amoeba,SF,,New
Syntonic Research Inc,Environments,1979,6/19,Soundtrack,C,60,,,,,
The Explorers Club,The Explorers Club,2020,6/20,2020s,B,36,,,,,New
Everest,Ownerless,2012,6/20,2010s,A,43,6/2/2013,Majestic Theater,Madison,,New
Exploded View,Exploded View,2016,6/20,2010s,D,40,9/13/2016,VMP,Online,$17,New
Earth Wind & Fire,"The Best Of Earth, Wind, & Fire, Vol 1",1978,6/21,Funk,A,40,,,,,Used
Fleetwood Mac,English Rose,1969,6/21,60s,B,40,,,,,Used
Funkadelic,Electric Spanking of War Babies,1981,6/21,Funk,B,44,,Green Apple,SF,$20,New
Pete Fountain and Al Hirt,Bourbon Street,1962,6/22,Jazz,C,34,,Grandpa George,Glen Ellen,$0,Used
Foreigner,Foreigner,1977,6/23,70s,B,39,,,,,Used
Roberta Flack,Chapter Two,1970,6/23,Soul,A,38,,,,$10,Used
Foreigner,Double Vision,1978,6/24,70s,C,38,,,,,Used
Foreigner,4,1981,6/24,80s,B,42,,,,,Used
Fleetwood Mac,Black Magic Woman,1971,6/25,70s,C,75,,,,,Used
Funkadelic,Free Your Mind... And Your Ass Will Follow,1970,6/25,Funk,B,31,,,,$20,New
Maynard Ferguson,M.F. Horn Two,1972,6/25,Jazz,C,42,,Grandpa George,Glen Ellen,$0,Used
The Four Tops,Main Street People,1973,6/25,Soul,A,41,11/19/2016,Backstreet Beat,Bainbridge,$8,Used
50 Cent,Music From and Inspired by Get Rich or Die Tryin' The Motion Picture,2005,6/26,Hip-Hop / R&B,B,65,12/11/2016,Alamo,SF,$20,Used
Fugees,The Score,1996,6/26,Hip-Hop / R&B,S,,11/16/2016,VMP,Online,$27,New
Funkadelic,Maggot Brain,1971,6/26,Funk,S,37,,,,$23,New
Funkadelic,Cosmic Slop,1973,6/26,Funk,A,36,,,,$20,New
Jean Pierre Ferland,Jaune,1970,6/26,World,A,35,,,,,Used
Aretha Franklin,live at fillmore west,1971,7/6,Soul,A,48,8/29/2016,Recycled Records,SF,$8.50,Used
Peter Frampton,Frampton Comes Alive!,1976,7/6,70s,S,78,,,,,Used
Various Artists,Forge Your Own Chains - Heavy Psychadelic Ballads and Dirges 1968-1974,2010,7/6,World,B,70,,Amoeba,SF,,
Ella Fitzgerald,Lady Be Good! 1957,1985,7/7,Jazz,A,37,,,,,Used
Free,Free LIVE!,1971,7/7,70s,B,41,,,,,Used
Free,Free At Last,1972,7/7,70s,B,37,12/27/2016,Stranded,SF,$10,Used
Funkadelic,Uncle Jam Wants You,1979,7/7,Funk,S,42,4/13/2017,Everyday Music,Seattle,$20,Used
Various Artists,FM - The Original Motion Picture Soundtrack,1978,7/7,70s,B,82,3/11/2017,Alamo,SF,$10,Used
A,Lefty Frizzell's Greatest Hits,1966,7/8,Country,,28,2/1/2020,Sig's Lagoon,Houston,,Used
Funkadelic,Funkadelic's Greatest Hits,1975,7/12,Funk,B,39,,,,$15,Used
Funkadelic,Toys,2008,7/12,Funk,A,35,,Green Apple,SF,$20,New
Lee Fields & The Expressions,Special Night,2016,7/12,Soul,A,43,11/16/2016,VMP,Online,$23,New
Aretha Franklin,Hey now hey (the other side of the sky),1973,7/13,Soul,B,47,11/18/2016,Georgetown Records,Seattle,$8,Used
Fleetwood Mac,Fleetwood Mac,1975,7/13,70s,S,42,,Amoeba,SF,$9.99,Used
Futurebirds,Baba Yaga,2013,7/13,2010s,A,66,4/2/2013,Fat Possum,Online,$35,New
Dexter Gordon,Doin' Allright,1961,7/30,Jazz,A,41,,,,,New
Grand Funk Railroad,Grand Funk,1969,7/30,60s,S,48,12/19/2016,Rooky Ricardo's,SF,$10,Used
Grand Funk Railroad,Survival,1971,7/30,70s,B,41,,Fantasyland,Atlanta,$2,Used
Grand Funk Railroad,all the girls in the world beware!!!,1974,7/30,70s,B,39,,,,$1.99,Used
Grand Funk Railroad,Monumental Funk,1974,7/30,70s,B,29,,,,,Used
Steve Goodman,Affordable Art,1984,7/30,Folk/Country,A,39,11/1/2009,Antone's,Austin,$7.99,Used
Dexter Gordon,Sophisticated Giant,1977,7/31,Jazz,B,46,,,Portland,$8,Used
Jerry Garcia,Run For The Roses,1982,7/31,80s,A,35,,,,,New
Peter Gabriel,So,1986,7/31,80s,B,42,,,,,Used
Dizzy Gillespie,Dizzy Gillespie and the Double Six of Paris,1963,8/1,Jazz,C,39,3/11/2017,Aquarius,SF,$10,Used
Gerry and the Pacemakers,Second Album,1964,8/1,60s,A,27,,Little Axe,Portland,$10,Used
Grand Funk Railroad,Good Singin Good Playin,1976,8/1,70s,B,51,,Full Moon Records,Atlanta,$1,Used
Colleen Green,I Want To Grow Up,2015,8/4,2010s,C,37,5/4/2016,Hardly Art,Online,$19,New
Judy Garland and Liza Minnelli,"""Live"" at the London Palladium",1965,8/4,Lounge,C,79,,Amoeba,SF,$2.99,Used
Félix Gnoka Groguhet Et Les Ambassadeurs de Bouake,Félix Gnoka Groguhet Et Les Ambassadeurs de Bouake,1975,8/4,World,B,37,,,,,Used
Woody Guthrie,Bonneville Dam & Other Columbia River Songs,1966,8/5,Folk/Country,A,22,10/25/2022,,Portland,$36,Used
Al Green,Gets Next to You,1971,8/5,Soul,A,33,2/14/2019,Fat Possum,Online,$10,New
Benny Goodman and His Orchestra,Big Bands: King of Swing,1983,8/5,Jazz,C,55,,Recycled,SF,,Used
Bob Dylan,Pat Garrett & Billy The Kid,1973,8/6,Folk/Country,B,35,,,,,Used
Kiki Gyan,24 Hours in a Disco 1978-1982,2012,8/6,World,A,57,7/18/2016,VMP,Online,$21,New
Various Artists,The Original Soundtrack from the Motion Picture Grease,1978,8/6,Soundtrack,B,63,,,,,Used
Geographer,Myth,2012,8/7,2010s,B,42,,Amoeba,SF,$20,New
Marvin Gaye,What's Going On,1971,8/7,Soul,S,36,3/28/2017,Originals Vinyl,SF,$20,Used
Marvin Gaye,"Here, My Dear",1978,8/7,Soul,B,72,,,,,Used
Vaudou game,Otodi,2018,8/8,World,B,57,2/14/2024,Passenger Seat Records,Portland,$28,New
Al Green,I'm Still In Love With You,1972,8/8,Soul,S,35,5/30/2014,Amoeba,SF,$15,New
Gucci Mane,Everybody Looking,2016,8/8,Hip-Hop / R&B,B,52,12/19/2017,VMP,Online,$26,New
Bobbie Gentry,Ode to Billie Joe,1967,8/9,Folk/Country,B,30,,Grandpa George,Glen Ellen,$0,Used
Gallant,Ology,2016,8/9,Hip-Hop / R&B,C,53,8/16/2016,VMP,Online,$24,New
Simon & Garfunkel,The Graduate,1968,8/9,Soundtrack,A,37,,,,,Used
Peter Gabriel,Peter Gabriel (Security),1982,8/10,80s,C,45,,,,$3,Used
Robert Glasper Experiment,ArtScience,2016,8/10,Jazz,A,71,9/15/2016,VMP,Online,$19,New
Al Green,Let's Stay Together,1972,8/11,Soul,A,34,2/14/2019,Fat Possum,Online,$10,New
Gorillaz,Demon Days,2005,8/11,Electronic,A,51,3/18/2017,VMP,Online,$25,New
Los Granadians Del Espacio Exterior,La Onda Cosmica,2015,8/11,World,C,37,2/10/2016,,Madrid,$15,New
Peter Gabriel,peter gabriel,1978,8/11,70s,B,41,,,Portland,$16,Used
Peter Gabriel,Us,1992,8/11,90s,A,58,7/10/2017,Ranch Records,Bend,$25,New
Stan Getz,The Melodic Stan Getz,1965,8/11,Jazz,A,33,10/19/2017,Sound City,Bainbridge,$15,Used
Dick Reaves,"Gullah: ""A Breath of the Carolina Low Country""",1963,8/12,Soundtrack,F,33,,,,,Used
Glass Animals,How To Be a Human Being,2016,8/12,2010s,S,43,10/20/2016,VMP,Online,$25,New
Gorillaz,Plastic Beach,2010,8/12,Electronic,S,57,,Amoeba,SF,,New
The Gap Band,The Gap Band II,1979,8/12,Funk,B,39,3/24/2018,,Mexico City,$12,Used
The Grateful Dead,Grateful Dead (Skull and Roses),1971,8/12,70s,A,70,,David Gray,,$0,Used
The Gap Band,Strike A Groove,1983,8/13,Funk,B,33,4/1/2010,Antone's,Austin,$3,Used
Genesis,ABACAB,1981,8/14,80s,B,47,,,,,Used
The New Stan Getz Quartet ft. Astrud Galberto,Getz Au Go Go,1964,8/14,Jazz,A,39,,Recycled,SF,$10,Used
Gerhard,"BBC Symphony Orchestra, Colin Davis*, Yfrah Neaman – Symphony No 4 / Violin Concerto",1972,8/17,Classical,C,60,,,Portland,,Used
Al Green,Greatest Hits,1975,8/18,Soul,A,37,2/14/2019,Fat Possum,Online,$10,New
Jackie Gleason,Music for Lovers Only,1952,8/18,Lounge,B,55,,,Portland,$7.50,Used
Serge Gainsbourg,Initials B.B.,1968,8/18,Lounge,A,31,3/11/2017,Aquarius,SF,$20,New
Stan Getz / Joao Gilberto,Getz/Gilberto #2,1966,8/18,Jazz,A,64,,,Portland,$15,Used
The Grateful Dead,The Grateful Dead,1967,8/18,60s,S,35,1/29/2017,Originals Vinyl,SF,$20,Used
Bill Evans Trio,At The Montreaux Jazz Festival,1968,8/19,Jazz,A,59,8/7/2025,Little Axe Records,Portland,$30,Used
Genesis,Invisible Touch,1986,8/19,80s,A,46,,,SF,$3.99,Used
Grateful Dead and Allman Brothers,Of Dark Stars and Lovelights,1971,8/19,70s,A,42,12/27/2016,Stranded,SF,$40,Used
Guru,Jazzmatazz Vol 1,1993,8/19,Hip-Hop / R&B,A,44,8/16/2016,VMP,Online,$24,New
The Guess Who,Share the Land,1970,8/19,70s,B,34,11/1/2004,,Atlanta,$1.99,